,season,area,tot_pm25,OA,OA%,bc,bc%,SO4,SO4%,NO3,NO3%,NH4,NH4%,other,other%,tot_inorg,tot_inorg%,water,water%,sea,sea%
0,premonsoon,upper,68.76,11.440572738647461,16.6384129416048,2.372708797454834,3.4507108747161634,8.591891288757324,12.495478895807626,1.0065224170684814,1.463819687417803,3.3026926517486572,4.803217934480304,41.162391662597656,59.86386222018274,54.06349802017212,78.62637873788847,0.5332489013671875,0.7755219624304646,0.35379788279533386,0.5145402600281178
1,premonsoon,middle,89.2,19.859310150146484,22.263800616756146,3.798718214035034,4.258652706317303,13.307351112365723,14.918555058705968,3.185804605484009,3.571529826775795,5.771996974945068,6.4708486266200325,42.682071685791016,47.849856149989925,64.94722437858582,72.81078966209172,0.4043925404548645,0.4533548659807898,0.1871771216392517,0.20983982246552882
2,premonsoon,lower,127.92,21.41303062438965,16.739392295489093,3.949705123901367,3.0876369011111375,15.806150436401367,12.35627770200232,8.307408332824707,6.494221648549646,7.7870707511901855,6.087453682919157,37.592018127441406,29.38713111901298,69.49264764785767,54.3250841524841,32.432334899902344,25.35360764532704,0.6294266581535339,0.4920471061237757
3,monsoon,upper,56.33,17.71363067626953,31.4461755303915,2.095686912536621,3.720374423107795,9.241571426391602,16.406127154964675,3.682910442352295,6.5380977140995835,3.0363359451293945,5.390264415283854,10.8618745803833,19.28257514713883,26.822692394256592,47.61706443148694,4.457097053527832,7.91247479767057,5.238029956817627,9.298828256377822
4,monsoon,middle,81.45,21.26250648498535,26.10498033761246,3.1038806438446045,3.81078040987674,7.29950475692749,8.961945680696735,8.77133846282959,10.768985221399127,3.6390538215637207,4.467837718310276,15.355446815490723,18.852605052781733,35.06534385681152,43.05137367318787,19.559865951538086,24.014568387400963,2.462477207183838,3.023299210784331
5,monsoon,lower,100.13,20.294422149658203,20.26807365390812,3.9693310260772705,3.964177595203506,5.853946208953857,5.846345959206889,9.848337173461914,9.835550957217531,3.468082904815674,3.463580250490037,12.275485038757324,12.25954762684243,31.44585132598877,31.405024793756887,41.76035690307617,41.70613892247695,2.6619222164154053,2.658466210341961
6,postmonsoon,upper,137.46,42.99602508544922,31.27893575254562,6.64078426361084,4.831066683843184,19.518768310546875,14.199598654551778,35.669105529785156,25.94871637551663,17.635250091552734,12.829368610179495,14.500207901000977,10.548674451477504,87.32333183288574,63.5263580917254,0.3925577402114868,0.28557961604211174,0.11176449060440063,0.08130691881594691
7,postmonsoon,middle,175.52,52.633365631103516,29.987104393290515,8.122970581054688,4.627945864320127,16.78331756591797,9.562054219415433,41.9198112487793,23.88321060208483,18.470470428466797,10.523285339828394,33.551273345947266,19.11535628187515,110.72487258911133,63.08390644320381,3.9980533123016357,2.2778334732803303,0.03592348471283913,0.02046688964952092
8,postmonsoon,lower,184.66,52.38029479980469,28.36580461377921,8.87509536743164,4.806181830083202,10.085915565490723,5.461884309266069,32.89390563964844,17.813227358198006,13.300795555114746,7.202856901935853,23.100378036499023,12.509681596717764,79.38099479675293,42.98765016611769,43.89329147338867,23.769788515860863,0.12788629531860352,0.06925500667096476
9,winter,upper,85.79,26.421119689941406,30.79743523713883,5.530658721923828,6.446740554754432,9.606616973876953,11.197828387780572,22.855464935302734,26.64117605234029,10.213982582092285,11.905796225774898,8.740408897399902,10.188144186268682,51.416473388671875,59.93294485216444,2.3615736961364746,2.7527377271668896,0.0610165111720562,0.071123104291941
10,winter,middle,157.58,35.19704818725586,22.335986919187622,7.28843879699707,4.625230864955623,11.048316955566406,7.0112431498708,42.952659606933594,27.257684735964965,16.615497589111328,10.544166511683798,32.19424819946289,20.430415153866534,102.81072235107422,65.2435095513861,12.249383926391602,7.773438206873716,0.03913559019565582,0.024835378979347518
11,winter,lower,191.33,59.58249282836914,31.141218224203804,11.021958351135254,5.760705770728716,13.898677825927734,7.264243885395774,49.28163528442383,25.757400974454512,19.522544860839844,10.203598422014238,31.09590721130371,16.252499457117917,113.79876518249512,59.47774273898244,6.876457691192627,3.5940300481851395,0.04643573984503746,0.024269973263491066
