,season,area,OA (ug m-3),POA (ug m-3),SOA (ug m-3)
0,premonsoon,upper,11.440572738647461,8.584274291992188,2.8562984466552734
1,premonsoon,middle,19.859310150146484,12.004045486450195,7.855264186859131
2,premonsoon,lower,21.41303062438965,13.421035766601562,7.991994857788086
3,monsoon,upper,17.71363067626953,6.419177532196045,11.294452667236328
4,monsoon,middle,21.26250648498535,8.743029594421387,12.519476890563965
5,monsoon,lower,20.294422149658203,12.266805648803711,8.027615547180176
6,autumn,upper,42.99602508544922,22.804590225219727,20.191434860229492
7,autumn,middle,52.633365631103516,24.113407135009766,28.51995849609375
8,autumn,lower,52.38029479980469,28.571903228759766,23.808393478393555
9,winter,upper,26.421119689941406,17.989442825317383,8.431676864624023
10,winter,middle,35.19704818725586,19.6535587310791,15.543490409851074
11,winter,lower,59.58249282836914,33.91499710083008,25.667495727539062
