,season,MB,NMB,NMAE,RMSE,range obs,range mod,r
0,pre,0.2723245023048282,0.4427134626770347,0.48965771240282985,0.4029178912336944,"(0.07, 3.5)","(0.08, 2.82)",0.5168624961876105
1,mon,-0.18495379907981999,-0.1861083556654116,0.42538136868443976,0.5313711681731641,"(0.04, 2.53)","(0.11, 3.17)",0.34777507800873303
2,post,-0.0456026834253758,-0.06203685405592115,0.2488769010401686,0.23097069841757645,"(0.06, 2.23)","(0.12, 1.47)",0.7350975074991571
3,win,-0.07678023450101286,-0.14121474995632394,0.3256679346409961,0.22445261951792914,"(0.09, 1.17)","(0.08, 1.2)",0.4681902626581136
